epoch,loss,ppl
0, 1.06023, 2.88704
1, 0.75494, 2.12748
2, 0.66880, 1.95189
3, 0.60438, 1.83011
4, 0.56053, 1.75159
5, 0.52773, 1.69507
6, 0.50227, 1.65246
7, 0.48255, 1.62021
8, 0.46784, 1.59655
9, 0.45752, 1.58015
10, 0.44696, 1.56356
11, 0.43452, 1.54422
12, 0.42265, 1.52600
13, 0.40984, 1.50658
14, 0.39726, 1.48774
15, 0.38661, 1.47198
16, 0.37571, 1.45603
17, 0.36662, 1.44286
18, 0.35750, 1.42975
19, 0.34805, 1.41630
