epoch,loss,ppl
0, 0.53181, 1.70200
1, 0.41955, 1.52128
2, 0.38058, 1.46313
3, 0.35462, 1.42564
4, 0.32745, 1.38743
5, 0.28993, 1.33633
6, 0.25774, 1.29400
7, 0.23777, 1.26842
8, 0.22552, 1.25298
9, 0.21756, 1.24305
10, 0.21057, 1.23439
11, 0.20364, 1.22585
12, 0.19778, 1.21869
13, 0.19286, 1.21272
14, 0.18848, 1.20741
15, 0.18457, 1.20270
